当たり　あたり
計算　けいさん
複雑　ふくざつ
個人　こじん
使用　しよう
小規模　しょうきぼ
複数　ふくすう
大規模　だいきぼ
パーソナルコンピュータ　Personal computer
低価格　ていかかく
汎用　はんよう
メインフレーム　main frame
技術　ぎじゅつ
幅広い　はばひろい
用途　ようと
大型　おおがた
規模　きぼ
環境　かんきょう
シミュレーション　simulation
遺伝子　いでんし
解析　かいせき
科学　かがく
超高速　ちょうこうそく
大量　たいりょう
家電製品　かでんせいひん
組み込む　くみこむ
超小型　ちょうこがた
ウェアラプル　wearable
端末　たんまつ
身に付ける　みにつける
機器　きき
腕時計型　うでとけいがた
型　がた
構成　こうせい
要素　ようそ
両方　りょうほう
個々　ここ
見分ける　みわける　识别
判断　はんだん
動作　どうさ
入力　にゅうりょく
装置　そうち
出力　しゅつりょく
演算　えんざん
制御　せいぎょ
記憶　きおく
役割　やくわり　职务
代表的　だいひょう
例　れい
表　ひょう
形　かたち
表示　ひょうじ
印刷　いんさつ
ディスプレイ　display
シーピーユー　C.P.U.
保存　ほぞん
ハードディスク　hard disk
回路　かいろ
チップ　chip
基幹　きかん
主対象　ぬしたいしょう
用途　ようと
サーバ側　がわ
資源　しげん
形態　けいたい
最小限　さいしょうげん
備える　そなえる
クライアント　client
アドレス帳　ちょう
会計　かいけい
在庫　ざいこ
解説　かいせつ
仮想　かそう
構成　こうせい
一部　いちぶ
適切　てきせつ
指示　しじ
及び　および
受け渡し　うけわたし　交换
依頼　いらい
保持　ほじ
